user1,user2,weight
2,3,1
4,6,2
3,7,2
6,7,2
9,12,1
8,15,1
9,16,1
16,17,1
17,18,1
20,21,1
21,22,1
8,23,1
22,23,1
29,30,2
28,31,2
33,37,2
36,37,2
27,39,4
28,44,4
38,44,2
36,45,2
42,49,2
53,54,1
58,59,2
58,60,2
6,61,1
57,61,1
62,63,2
64,65,2
7,68,2
52,69,1
59,70,1
52,71,1
69,71,1
51,72,1
29,76,2
32,76,2
41,77,2
41,79,2
78,79,1
80,81,1
81,83,1
82,84,1
83,84,1
82,85,1
38,88,2
13,89,2
31,89,2
86,89,2
87,90,1
89,90,2
68,91,2
94,95,1
7,99,2
75,100,2
87,100,1
85,101,1
24,102,2
25,103,2
46,104,2
26,105,2
48,106,2
47,107,2
6,108,4
68,108,2
68,109,4
89,109,2
13,112,1
89,114,2
89,116,2
40,117,2
116,117,2
40,118,2
101,119,1
115,120,2
86,121,2
56,123,1
60,124,2
62,124,2
62,125,1
70,125,1
62,128,3
124,128,2
125,128,1
127,128,4
111,129,2
112,130,2
124,131,2
62,132,2
124,132,2
128,132,2
126,133,2
128,134,2
124,135,2
131,135,2
135,136,1
137,141,1
139,141,2
139,142,2
127,143,2
128,143,2
97,144,2
4,145,2
7,145,2
33,145,4
36,145,2
37,145,4
53,145,1
54,145,1
58,145,2
60,145,2
62,145,2
63,145,4
68,145,4
70,145,2
93,145,2
108,145,2
110,145,2
122,145,2
125,145,1
128,145,2
136,145,2
143,145,2
73,146,2
92,146,1
126,146,2
133,146,2
135,146,3
145,146,9
4,147,2
7,147,2
14,147,2
33,147,4
37,147,4
53,147,1
54,147,1
58,147,2
59,147,1
60,147,2
62,147,2
63,147,4
70,147,2
73,147,2
92,147,1
93,147,2
110,147,2
122,147,2
125,147,1
126,147,2
128,147,2
133,147,2
135,147,1
143,147,2
145,147,114
5,148,2
145,149,4
147,149,4
53,150,2
55,150,1
94,150,2
94,152,2
147,152,3
149,152,2
150,152,2
13,153,1
30,153,2
33,153,2
38,153,2
39,153,2
49,153,2
56,153,1
57,153,1
58,153,2
59,153,2
61,153,1
85,153,1
87,153,1
88,153,2
89,153,3
90,153,3
96,153,1
101,153,1
111,153,1
112,153,1
114,153,1
140,153,2
145,153,4
147,153,4
53,154,2
55,154,1
145,154,5
147,154,5
150,154,3
151,154,1
32,155,2
42,155,2
43,155,2
45,155,2
49,155,2
75,155,1
77,155,2
96,155,1
102,155,2
104,155,2
105,155,2
106,155,2
107,155,2
145,155,1
146,155,4
147,155,5
