user1,user2,weight
2,1,1
19,1,1
57,1,1
97,1,1
156,1,1
193,1,1
204,1,1
390,1,1
446,1,1
909,1,1
191,2,2
514,2,1
909,2,1
563,3,1
359,5,1
37,6,2
148,6,1
164,6,1
183,6,1
193,6,2
208,6,2
302,6,2
308,6,2
403,6,2
445,6,2
446,6,1
450,6,2
472,6,2
564,6,1
909,6,1
514,10,1
13,11,1
37,11,1
60,11,2
62,11,1
84,11,2
100,11,1
147,11,2
164,11,1
166,11,1
178,11,1
268,11,1
284,11,1
292,11,1
299,11,1
305,11,1
333,11,1
346,11,2
359,11,1
360,11,1
361,11,1
363,11,1
366,11,1
367,11,1
384,11,1
393,11,1
440,11,1
444,11,2
445,11,1
446,11,1
458,11,1
461,11,1
468,11,1
472,11,1
484,11,1
487,11,1
526,11,1
527,11,1
543,11,1
545,11,1
582,11,1
593,11,1
909,11,1
1170,11,1
1214,11,1
49,12,1
95,12,1
284,12,1
328,12,1
183,13,1
400,13,1
403,13,1
436,13,1
446,13,1
573,13,2
909,13,1
16,14,1
48,14,1
49,14,1
77,14,1
179,14,1
204,14,1
205,14,1
250,14,1
275,14,1
284,14,1
302,14,1
328,14,1
332,14,1
359,14,1
365,14,1
381,14,1
413,14,1
472,14,1
585,14,1
632,14,1
514,15,1
2,16,1
49,16,1
100,16,1
284,16,1
302,16,1
446,16,1
482,16,1
531,16,1
157,19,2
400,19,1
48,20,1
49,20,1
302,20,2
446,20,1
472,20,1
1,21,1
16,21,1
49,21,1
60,21,1
85,21,1
93,21,1
99,21,1
119,21,1
157,21,1
177,21,1
179,21,1
181,21,1
194,21,1
199,21,1
206,21,1
222,21,1
223,21,1
226,21,1
266,21,1
279,21,1
302,21,1
315,21,2
323,21,1
337,21,1
341,21,2
360,21,1
365,21,1
387,21,2
395,21,1
402,21,1
413,21,1
431,21,1
439,21,1
440,21,1
446,21,1
458,21,1
465,21,1
472,21,1
475,21,2
476,21,1
481,21,1
490,21,1
497,21,1
509,21,1
528,21,2
545,21,1
548,21,1
566,21,1
573,21,1
584,21,1
701,21,1
802,21,1
837,21,1
1080,21,1
1128,21,1
2,22,1
20,22,1
100,22,1
119,22,1
132,22,1
179,22,1
226,22,1
251,22,1
256,22,1
270,22,1
277,22,1
294,22,1
304,22,1
312,22,1
322,22,1
341,22,3
403,22,1
417,22,1
445,22,1
449,22,1
451,22,1
482,22,1
504,22,1
516,22,1
522,22,1
531,22,1
538,22,1
13,24,1
21,24,1
48,24,2
49,24,1
54,24,1
99,24,1
119,24,2
134,24,1
147,24,1
302,24,1
306,24,1
327,24,1
413,24,1
447,24,1
507,24,1
538,24,1
545,24,1
1137,24,1
132,25,1
445,25,1
2,26,1
13,26,2
138,26,2
148,26,1
302,26,2
354,26,1
359,26,1
390,26,1
413,26,1
432,26,1
573,26,1
514,27,1
14,28,1
26,28,1
48,28,1
49,28,1
119,28,1
133,28,1
147,28,1
210,28,1
284,28,1
293,28,1
294,28,1
328,28,1
359,28,1
381,28,1
387,28,1
403,28,1
444,28,1
476,28,1
501,28,1
526,28,1
527,28,1
584,28,1
585,28,1
890,28,1
923,28,1
218,29,1
400,30,1
302,31,1
413,31,1
28,32,1
37,32,1
43,32,1
49,32,1
60,32,1
61,32,1
62,32,1
84,32,1
100,32,1
119,32,1
128,32,1
132,32,1
147,32,1
170,32,1
171,32,1
179,32,1
191,32,1
256,32,1
309,32,1
310,32,1
318,32,1
328,32,1
366,32,1
367,32,1
370,32,1
376,32,1
384,32,1
387,32,1
403,32,1
413,32,1
420,32,1
429,32,1
438,32,1
439,32,1
447,32,1
450,32,1
467,32,1
476,32,1
479,32,1
482,32,1
484,32,1
522,32,1
526,32,1
527,32,1
545,32,1
554,32,1
566,32,1
586,32,1
971,32,1
446,33,1
909,33,1
284,34,1
472,34,1
450,35,1
37,36,1
49,36,1
72,36,1
84,36,1
119,36,1
127,36,1
148,36,1
154,36,1
183,36,1
208,36,1
218,36,1
227,36,1
272,36,1
284,36,1
302,36,1
308,36,1
312,36,1
359,36,1
387,36,1
403,36,1
476,36,1
502,36,1
531,36,1
584,36,1
13,37,1
66,37,1
74,37,1
148,37,1
157,37,2
179,37,1
183,37,2
302,37,2
308,37,1
359,37,2
403,37,1
439,37,2
450,37,2
472,37,1
476,37,2
479,37,2
538,37,2
359,38,2
489,38,2
148,39,1
183,39,1
208,39,1
308,39,1
26,42,1
403,42,1
514,42,1
148,43,1
183,43,1
186,43,2
206,43,1
208,43,1
302,43,1
308,43,1
341,43,2
372,43,1
458,43,2
482,43,1
504,43,1
572,43,1
284,44,1
478,44,1
476,45,1
2,46,1
177,47,1
227,47,1
336,47,1
354,47,1
400,47,1
403,47,1
1,48,1
2,48,1
6,48,1
7,48,1
8,48,1
11,48,1
12,48,2
13,48,1
16,48,2
18,48,1
19,48,2
21,48,2
26,48,1
37,48,1
43,48,1
47,48,1
49,48,1
57,48,1
60,48,1
62,48,2
69,48,1
71,48,1
76,48,2
77,48,1
84,48,2
85,48,1
93,48,1
97,48,1
99,48,1
100,48,2
104,48,1
105,48,1
113,48,1
114,48,1
115,48,1
119,48,2
121,48,1
122,48,1
123,48,2
124,48,1
128,48,2
129,48,1
131,48,2
135,48,1
138,48,1
139,48,1
141,48,2
144,48,1
145,48,1
147,48,2
153,48,2
156,48,1
157,48,2
164,48,2
166,48,1
171,48,1
172,48,1
178,48,2
179,48,1
182,48,1
183,48,1
185,48,1
186,48,2
191,48,1
193,48,1
194,48,1
199,48,1
202,48,1
204,48,1
206,48,1
207,48,1
210,48,2
217,48,1
218,48,1
219,48,1
221,48,1
223,48,1
226,48,2
227,48,1
228,48,1
233,48,1
235,48,1
236,48,1
249,48,1
251,48,1
256,48,1
261,48,1
263,48,1
270,48,2
272,48,1
273,48,1
282,48,1
283,48,1
290,48,2
292,48,2
294,48,1
299,48,1
302,48,2
304,48,1
305,48,1
309,48,1
315,48,1
323,48,1
328,48,2
329,48,1
337,48,1
339,48,1
340,48,1
341,48,2
342,48,1
346,48,1
347,48,2
354,48,1
356,48,1
359,48,2
360,48,2
361,48,2
365,48,2
366,48,1
367,48,1
370,48,2
372,48,1
373,48,1
375,48,2
378,48,1
384,48,2
386,48,1
387,48,2
390,48,1
393,48,1
395,48,1
400,48,1
403,48,1
406,48,1
413,48,1
414,48,1
417,48,1
419,48,2
420,48,1
423,48,1
429,48,2
431,48,1
437,48,1
438,48,1
439,48,1
440,48,2
441,48,1
444,48,2
449,48,1
451,48,1
454,48,2
458,48,2
461,48,1
465,48,1
470,48,1
472,48,1
475,48,1
476,48,1
479,48,2
481,48,1
482,48,1
484,48,1
490,48,1
494,48,2
496,48,1
497,48,2
506,48,1
509,48,1
515,48,1
516,48,1
522,48,2
526,48,2
527,48,2
530,48,1
533,48,1
535,48,1
537,48,2
538,48,1
545,48,1
548,48,1
549,48,1
554,48,1
557,48,1
558,48,1
566,48,2
567,48,2
568,48,1
570,48,1
572,48,1
573,48,1
574,48,1
578,48,1
582,48,1
585,48,1
594,48,1
641,48,1
660,48,1
675,48,1
694,48,1
737,48,1
744,48,1
859,48,1
870,48,1
897,48,1
909,48,1
924,48,1
959,48,1
1001,48,1
1051,48,1
1101,48,1
1107,48,1
1139,48,1
