user1,user2,weight
1,2,1
1,3,67
3,4,1
2,5,1
6,7,1
7,8,1
8,9,62
9,10,1
9,11,1
8,12,19
9,12,5
12,13,1
9,14,2
9,16,1
9,17,1
9,18,1
8,19,5
18,19,1
20,21,2
9,22,2
19,22,1
8,23,1
21,25,1
3,26,4
7,26,1
3,27,1
12,27,9
27,28,1
25,29,1
30,31,4
1,32,2
3,32,27
8,32,20
9,32,31
26,32,1
32,33,1
9,34,3
33,34,1
34,35,1
1,36,18
3,36,14
6,36,5
19,36,3
34,36,1
36,37,1
38,39,1
9,40,1
36,40,1
3,41,3
11,41,1
13,41,1
14,41,1
32,41,6
3,42,4
27,42,5
32,42,2
41,42,3
41,43,2
42,43,1
1,44,9
14,44,1
19,44,3
32,44,2
34,44,4
36,44,3
44,45,1
22,46,1
44,46,1
46,47,1
6,48,9
44,48,2
46,48,1
9,49,1
3,51,8
39,51,1
9,52,3
32,52,5
38,52,2
41,52,1
48,52,19
51,52,1
9,53,2
26,53,6
34,53,1
53,54,2
36,55,1
9,56,2
36,56,1
41,56,3
56,57,2
3,58,1
9,58,6
29,58,1
32,58,4
34,58,2
38,58,1
41,58,3
48,58,1
51,58,3
32,59,1
41,59,2
51,59,1
3,60,1
32,60,1
36,60,6
44,60,2
9,61,2
38,61,1
41,61,1
56,61,1
3,62,1
50,62,2
53,62,1
60,62,7
32,63,8
41,63,27
42,63,1
46,63,1
60,63,3
9,64,1
19,64,1
19,65,2
12,66,2
8,67,4
9,67,3
12,67,2
32,67,23
52,67,5
59,67,1
63,67,9
3,68,5
32,68,2
48,68,1
56,68,4
61,68,4
6,69,3
42,69,1
67,69,2
58,71,1
3,72,8
9,72,11
19,72,2
30,72,3
32,72,1
42,72,29
67,72,10
71,72,4
6,73,7
12,73,3
36,73,11
63,73,13
44,74,13
63,74,8
67,74,2
73,74,17
69,75,2
9,76,3
41,76,3
9,78,1
41,78,1
47,78,1
62,78,1
8,79,1
44,79,5
48,79,1
58,79,2
63,79,2
69,79,1
70,79,1
12,80,3
41,80,1
58,80,1
36,81,1
38,81,1
41,81,1
48,81,3
19,82,6
3,83,1
58,83,1
59,83,1
3,84,3
6,84,1
44,84,1
19,85,1
29,85,1
38,86,2
41,86,1
48,86,2
51,86,1
84,86,1
8,87,2
27,87,4
53,87,1
58,87,1
3,88,2
6,88,1
9,88,1
32,88,5
34,88,1
44,88,5
67,88,1
36,89,1
6,90,2
12,90,1
36,90,2
41,90,5
44,90,5
48,90,2
56,90,2
67,90,1
70,90,1
47,91,1
81,91,1
44,92,1
91,92,3
36,93,4
38,94,1
84,94,3
44,95,5
63,95,27
69,95,2
81,95,1
6,96,6
12,96,1
32,96,3
48,96,3
62,96,1
88,96,1
95,96,5
9,97,11
67,97,4
68,97,4
75,97,1
97,98,4
3,99,1
8,99,9
36,99,1
44,99,4
1,101,1
9,101,1
12,101,13
32,101,2
38,101,5
41,101,2
68,101,3
88,101,2
100,101,5
44,102,2
50,102,5
62,102,4
97,102,8
98,102,6
8,103,1
12,103,2
36,103,2
44,103,3
52,103,7
56,103,2
58,103,5
61,103,1
62,103,3
63,103,30
66,103,4
72,103,25
82,103,1
86,103,2
93,103,1
97,103,2
101,103,3
36,104,2
69,104,1
97,104,3
3,105,1
8,105,2
9,105,1
19,105,1
27,105,2
32,105,22
33,105,1
36,105,7
42,105,4
52,105,9
58,105,1
61,105,5
63,105,4
72,105,2
90,105,1
96,105,1
97,105,1
101,105,1
72,106,2
105,107,1
34,108,1
9,109,5
19,109,8
36,109,7
38,109,1
79,109,1
95,109,3
103,109,9
36,110,2
36,112,2
111,112,1
36,113,1
19,114,4
103,114,9
105,114,2
101,115,1
44,116,2
44,117,2
103,117,1
12,118,1
32,118,3
100,118,1
101,118,2
36,119,5
58,119,1
9,120,1
19,120,2
41,120,2
51,120,1
75,120,4
118,120,3
108,121,1
6,122,2
26,122,1
1,123,2
6,124,8
8,124,1
36,124,1
61,124,1
69,124,2
70,124,1
72,124,2
85,124,3
96,124,1
101,124,1
109,124,4
114,124,5
32,125,1
99,126,1
125,126,1
9,127,4
44,127,1
103,127,1
12,128,2
32,128,12
36,128,2
38,128,13
62,128,6
105,128,2
8,129,1
36,129,5
44,129,9
105,129,1
32,130,2
125,131,5
1,132,6
3,132,6
9,132,1
41,132,1
42,132,6
67,132,3
103,132,2
36,133,6
19,134,1
36,134,1
41,134,2
103,134,5
1,135,3
3,135,8
103,135,4
105,135,4
124,135,6
133,135,5
9,136,1
62,136,1
96,137,2
137,138,2
6,140,2
12,140,6
19,140,1
105,140,2
124,140,6
44,141,2
9,142,11
12,142,9
42,142,2
58,142,1
73,142,2
6,143,2
12,143,10
95,143,1
103,143,8
3,144,2
9,144,6
12,144,20
23,144,1
41,144,1
42,144,11
51,144,1
88,144,5
99,144,11
103,144,4
105,144,3
119,144,1
121,144,4
142,144,25
48,145,4
88,145,2
95,145,3
119,145,3
3,146,4
6,146,1
26,146,4
128,146,2
145,147,1
9,148,1
12,148,2
38,148,1
9,149,1
51,149,1
132,149,1
9,150,1
9,151,1
103,151,3
9,152,1
48,152,14
9,153,1
32,154,1
56,154,3
67,154,1
95,154,1
103,154,1
8,155,1
32,155,4
34,155,2
36,155,1
105,155,2
36,156,1
9,157,1
41,157,1
51,157,1
19,158,1
103,158,1
1,159,2
72,160,3
1,161,10
30,161,8
63,161,6
30,162,2
62,162,1
132,162,2
161,162,13
42,163,4
70,163,1
72,163,1
96,163,1
8,164,4
32,164,2
67,164,1
96,164,2
161,164,2
9,165,1
41,165,1
41,166,2
79,166,1
103,166,3
41,167,1
12,168,3
38,168,2
41,168,17
95,168,7
103,168,9
119,168,2
41,169,1
